관리코드,상품명,기준상품명,마켓카테고리,식품안전유형힌트,등급,규격,산지,포장,보관,norm_key
,미색 가정용 부사 / 3kg / 소과 / 18-21과,미색 가정용 부사,미분류,미분류,가정용,3kg|21과,,,,미색가정용부사
,미색 가정용 부사 / 3kg / 중과 / 15-17과,미색 가정용 부사,미분류,미분류,가정용,3kg|17과,,,,미색가정용부사
,미색 가정용 부사 / 3kg / 중대과 / 12-14과,미색 가정용 부사,미분류,미분류,가정용,3kg|14과,,,,미색가정용부사
,미색 가정용 부사 / 4kg / 소과 / 24-32과,미색 가정용 부사,미분류,미분류,가정용,4kg|32과,,,,미색가정용부사
,미색 가정용 부사 / 4kg / 중과 / 20-23과,미색 가정용 부사,미분류,미분류,가정용,4kg|23과,,,,미색가정용부사
,미색 가정용 부사 / 4kg / 중대과 / 16-19과,미색 가정용 부사,미분류,미분류,가정용,4kg|19과,,,,미색가정용부사
,미색 가정용 부사 / 4kg / 대과 / 12-15과,미색 가정용 부사,미분류,미분류,가정용,4kg|15과,,,,미색가정용부사
,미색 가정용 부사 / 5kg / 소과 / 30-40과,미색 가정용 부사,미분류,미분류,가정용,5kg|40과,,,,미색가정용부사
,미색 가정용 부사 / 5kg / 중과 / 25-29과,미색 가정용 부사,미분류,미분류,가정용,5kg|29과,,,,미색가정용부사
,미색 가정용 부사 / 5kg / 중대과 / 20-24과,미색 가정용 부사,미분류,미분류,가정용,5kg|24과,,,,미색가정용부사
,미색 가정용 부사 / 5kg / 대과 / 15-19과,미색 가정용 부사,미분류,미분류,가정용,5kg|19과,,,,미색가정용부사
,미색 가정용 부사 / 10kg / 꼬마 / 90-110과,미색 가정용 부사,미분류,미분류,가정용,10kg|110과,,,,미색가정용부사
,미색 가정용 부사 / 10kg / 한입 / 80-89과,미색 가정용 부사,미분류,미분류,가정용,10kg|89과,,,,미색가정용부사
,미색 가정용 부사 / 10kg / 소과 / 70-79과,미색 가정용 부사,미분류,미분류,가정용,10kg|79과,,,,미색가정용부사
,미색 가정용 부사 / 10kg / 중소과 / 60-69과,미색 가정용 부사,미분류,미분류,가정용,10kg|69과,,,,미색가정용부사
,미색 가정용 부사 / 10kg / 중과 / 50-59과,미색 가정용 부사,미분류,미분류,가정용,10kg|59과,,,,미색가정용부사
